C/A,UNIT,DATE,TIME,ENTRIES,EXITS,num_turnstiles_per_group
N063A,R011,10/16/2019,20:00:00,7866,19029,12
N063A,R011,08/07/2019,20:00:00,7231,18586,12
N063A,R011,05/29/2019,20:00:00,7509,18481,12
N063A,R011,05/13/2019,20:00:00,7244,18056,12
N063A,R011,07/22/2019,20:00:00,7216,17533,12
N063A,R011,05/30/2019,20:00:00,7432,17445,12
N063A,R011,10/29/2019,20:00:00,6472,16862,12
N063A,R011,03/21/2019,20:00:00,7166,16794,12
N063A,R011,10/22/2019,20:00:00,6639,16782,12
N063A,R011,06/18/2019,20:00:00,7172,16714,12
N063A,R011,07/31/2019,20:00:00,6742,16691,12
N063A,R011,05/14/2019,20:00:00,6815,16599,12
N063A,R011,07/11/2019,20:00:00,7007,16555,12
N063A,R011,01/30/2019,19:00:00,6424,16554,12
N063A,R011,09/06/2019,20:00:00,7381,16516,12
N063A,R011,10/02/2019,20:00:00,6682,16111,12
N063A,R011,01/29/2019,19:00:00,6373,16018,12
N063A,R011,11/12/2019,19:00:00,6681,16000,12
N063A,R011,06/20/2019,20:00:00,6944,15988,12
N063A,R011,10/03/2019,20:00:00,6816,15920,12
N063A,R011,11/18/2019,19:00:00,6657,15862,12
N063A,R011,11/07/2019,19:00:00,6821,15820,12
N063A,R011,09/12/2019,20:00:00,6748,15750,12
N063A,R011,12/17/2019,19:00:00,6837,15725,12
N063A,R011,06/10/2019,20:00:00,6636,15705,12
N063A,R011,11/13/2019,19:00:00,6502,15657,12
N063A,R011,04/05/2019,20:00:00,7537,15603,12
N063A,R011,12/18/2019,19:00:00,6950,15591,12
N063A,R011,03/06/2019,19:00:00,6769,15532,12
N063A,R011,09/26/2019,20:00:00,6624,15530,12
N063A,R011,12/13/2019,19:00:00,7771,15485,12
N063A,R011,03/05/2019,19:00:00,6412,15465,12
N063A,R011,04/22/2019,20:00:00,7546,15457,12
N063A,R011,02/26/2019,19:00:00,6197,15448,12
N063A,R011,12/09/2019,19:00:00,7293,15387,11
N063A,R011,04/09/2019,20:00:00,6469,15250,12
N063A,R011,02/06/2019,19:00:00,6439,15127,12
N063A,R011,03/12/2019,20:00:00,6398,15096,12
N063A,R011,06/19/2019,20:00:00,6488,15045,12
N063A,R011,04/25/2019,20:00:00,7321,14994,12
N063A,R011,03/07/2019,19:00:00,6761,14954,12
N063A,R011,02/20/2019,19:00:00,6213,14951,12
N063A,R011,02/27/2019,19:00:00,6163,14950,12
N063A,R011,12/03/2019,19:00:00,6700,14891,12
N063A,R011,01/28/2019,19:00:00,6384,14879,12
N063A,R011,11/04/2019,19:00:00,6460,14868,12
N063A,R011,08/21/2019,20:00:00,6638,14863,12
N063A,R011,11/19/2019,19:00:00,6467,14844,12
N063A,R011,07/23/2019,20:00:00,6418,14837,12
N063A,R011,11/14/2019,19:00:00,6287,14834,12
N063A,R011,02/01/2019,19:00:00,6751,14826,12
N063A,R011,12/04/2019,19:00:00,6537,14799,12
N063A,R011,12/05/2019,19:00:00,6523,14770,12
N063A,R011,01/31/2019,19:00:00,6265,14759,12
N063A,R011,02/25/2019,19:00:00,6386,14734,12
N063A,R011,02/19/2019,19:00:00,6237,14670,12
N063A,R011,09/16/2019,20:00:00,6092,14630,12
N063A,R011,03/13/2019,20:00:00,6444,14611,12
N063A,R011,01/17/2019,19:00:00,6278,14596,12
N063A,R011,01/22/2019,19:00:00,6175,14593,12
N063A,R011,11/08/2019,19:00:00,7094,14561,11
N063A,R011,11/25/2019,19:00:00,6204,14556,12
N063A,R011,01/15/2019,19:00:00,6161,14540,12
N063A,R011,02/14/2019,19:00:00,6335,14539,12
N063A,R011,11/21/2019,19:00:00,6386,14535,12
N063A,R011,01/24/2019,19:00:00,6172,14524,12
N063A,R011,11/20/2019,19:00:00,6434,14508,12
N063A,R011,02/28/2019,19:00:00,6428,14506,12
N063A,R011,12/16/2019,19:00:00,6610,14501,12
N063A,R011,04/02/2019,20:00:00,6387,14483,12
N063A,R011,01/14/2019,19:00:00,5911,14481,12
N063A,R011,09/24/2019,20:00:00,6217,14455,12
N063A,R011,10/30/2019,20:00:00,6270,14451,12
N063A,R011,04/15/2019,20:00:00,6660,14449,12
N063A,R011,10/17/2019,20:00:00,6770,14449,12
N063A,R011,11/06/2019,19:00:00,6405,14426,12
N063A,R011,10/23/2019,20:00:00,6389,14381,12
N063A,R011,08/28/2019,20:00:00,6817,14315,12
N063A,R011,11/26/2019,19:00:00,6362,14309,12
N063A,R011,03/20/2019,20:00:00,6577,14304,12
N063A,R011,01/07/2019,19:00:00,5995,14277,12
N063A,R011,03/26/2019,20:00:00,6378,14260,12
N063A,R011,09/10/2019,20:00:00,6259,14245,12
N063A,R011,02/11/2019,19:00:00,6274,14239,12
N063A,R011,03/19/2019,20:00:00,6199,14239,12
N063A,R011,03/27/2019,20:00:00,6401,14236,12
N063A,R011,10/24/2019,20:00:00,6450,14236,12
N063A,R011,07/10/2019,20:00:00,6325,14234,12
N063A,R011,03/18/2019,20:00:00,6470,14220,12
N063A,R011,09/17/2019,20:00:00,6373,14202,12
N063A,R011,05/23/2019,20:00:00,6686,14177,12
N063A,R011,04/01/2019,20:00:00,6292,14160,12
N063A,R011,05/01/2019,20:00:00,6531,14158,12
N063A,R011,01/10/2019,19:00:00,6360,14124,12
N063A,R011,12/11/2019,19:00:00,6340,14113,12
N063A,R011,10/07/2019,20:00:00,6200,14112,12
N063A,R011,12/02/2019,19:00:00,6247,14102,12
N063A,R011,04/29/2019,20:00:00,6617,14077,12
N063A,R011,10/10/2019,20:00:00,6470,14076,12
N063A,R011,10/15/2019,20:00:00,6064,14061,12
N063A,R011,01/25/2019,19:00:00,6824,14043,12
N063A,R011,04/04/2019,20:00:00,6518,14043,12
N063A,R011,12/12/2019,19:00:00,6600,14017,12
N063A,R011,10/08/2019,20:00:00,6015,14007,12
N063A,R011,12/10/2019,19:00:00,5973,13983,11
N063A,R011,08/14/2019,20:00:00,6320,13968,12
N063A,R011,03/28/2019,20:00:00,6328,13965,12
N063A,R011,04/30/2019,20:00:00,6299,13962,12
N063A,R011,09/18/2019,20:00:00,6325,13956,12
N063A,R011,07/17/2019,20:00:00,6567,13953,12
N063A,R011,01/11/2019,19:00:00,6905,13950,12
N063A,R011,03/25/2019,20:00:00,6207,13950,12
N063A,R011,03/11/2019,20:00:00,6316,13949,12
N063A,R011,02/07/2019,19:00:00,6207,13936,12
N063A,R011,03/14/2019,20:00:00,6456,13919,12
N063A,R011,01/16/2019,19:00:00,6161,13909,12
N063A,R011,07/24/2019,20:00:00,6750,13908,12
N063A,R011,03/08/2019,19:00:00,7103,13881,12
N063A,R011,09/09/2019,20:00:00,6263,13880,12
N063A,R011,01/09/2019,19:00:00,6087,13869,12
N063A,R011,07/16/2019,20:00:00,6546,13864,12
N063A,R011,06/27/2019,20:00:00,6983,13846,12
N063A,R011,04/11/2019,20:00:00,6451,13842,12
N063A,R011,07/30/2019,20:00:00,6348,13839,12
N063A,R011,01/23/2019,19:00:00,6056,13832,12
N063A,R011,07/25/2019,20:00:00,6664,13821,12
N063A,R011,07/18/2019,20:00:00,6502,13813,12
N063A,R011,09/25/2019,20:00:00,6217,13794,12
N063A,R011,09/23/2019,20:00:00,6240,13788,12
N063A,R011,07/09/2019,20:00:00,6407,13783,12
N063A,R011,08/05/2019,20:00:00,6334,13777,12
N063A,R011,06/24/2019,20:00:00,6501,13768,12
N063A,R011,11/22/2019,19:00:00,6934,13756,12
